question,answer
What is principal component analysis (PCA)?,"""PCA is a technique for reducing dimensionality by transforming features into orthogonal components that capture maximum variance."""
What is k‑means clustering?,"""K-means clustering partitions data into k groups by minimizing intra-cluster variance, commonly used in unsupervised learning tasks."""
What is hierarchical clustering?,"""Hierarchical clustering builds a tree of clusters using a bottom-up (agglomerative) or top-down (divisive) approach to group similar data."""
What is DBSCAN?,"""DBSCAN is a density-based clustering algorithm that groups together points that are closely packed and identifies noise as outliers."""
What is the elbow method?,"""The elbow method helps determine the optimal number of clusters in k-means by plotting explained variance and finding the 'elbow' point."""
What is the ROC curve?,"""The ROC curve plots true positive rate vs. false positive rate for different thresholds, helping assess classifier performance."""
What is AUC?,"""AUC (Area Under the ROC Curve) quantifies the overall ability of a classifier to distinguish between classes. Higher AUC indicates better performance."""
What is the precision–recall curve?,"""This curve plots precision against recall at various thresholds and is useful for evaluating classifiers, especially on imbalanced datasets."""
What is hyperparameter tuning?,"""Hyperparameter tuning involves finding the best set of parameters (like learning rate, depth) that control model training but are not learned from data."""
What is grid search?,"""Grid search is a brute-force method to find the best hyperparameters by exhaustively trying all combinations within a predefined grid."""
What is random search?,"""Random search randomly selects combinations of hyperparameters and evaluates them, often more efficient than grid search for large spaces."""
What is Bayesian optimization?,"""Bayesian optimization models the performance of hyperparameters using probabilistic functions to guide the search toward better configurations."""
What is early stopping?,"""Early stopping halts training when performance on validation data stops improving, helping to prevent overfitting."""
What is the bias–variance trade‑off?,"""The bias-variance trade-off describes the balance between the error introduced by bias and variance. A good model finds the optimal balance."""
